applicant_id,age,monthly_income_inr,existing_loans_count,credit_utilization_ratio,upi_monthly_inflow_inr,bounced_payments_count,credit_bureau_score,employment_type,default
APP1136,22,118333,1,0.79,55551,2,397.0,salaried,1
APP1137,26,129821,0,0.8,13556,1,644.0,salaried,0
APP1138,48,51395,2,0.51,29598,0,507.0,salaried,0
APP1139,48,144695,3,0.06,13563,0,813.0,salaried,0
APP1140,40,49620,0,0.31,48819,1,,salaried,0
APP1141,50,143148,1,0.61,111326,1,,salaried,0
APP1142,31,35559,2,0.93,75770,1,321.0,salaried,0
APP1143,48,108396,1,0.62,93055,3,453.0,salaried,0
APP1144,45,36732,1,0.28,28966,2,,self_employed,1
APP1145,59,106362,2,0.62,83709,0,594.0,salaried,0
APP1146,53,28843,1,0.54,61889,0,518.0,salaried,0
APP1147,21,129065,2,0.75,28987,2,794.0,gig,1
APP1148,47,86726,0,0.15,80714,2,529.0,salaried,0
APP1149,33,32640,2,0.73,106874,1,,self_employed,0
APP1150,23,67528,2,0.54,60348,3,,salaried,0
APP1151,59,53413,3,0.92,26596,0,447.0,self_employed,0
APP1152,26,67638,2,0.36,35174,0,407.0,self_employed,0
APP1153,28,125133,2,0.62,66106,0,702.0,salaried,0
APP1154,47,121357,0,0.89,109510,0,,gig,0
APP1155,29,93859,3,0.14,71967,1,782.0,salaried,0
APP1156,57,114657,4,0.89,61182,0,666.0,salaried,0
APP1157,53,26023,0,0.67,95300,2,713.0,self_employed,0
APP1158,44,36447,0,0.11,89163,0,608.0,self_employed,0
APP1159,35,140899,4,0.32,41310,1,433.0,salaried,0
APP1160,52,38959,2,0.69,58088,0,582.0,salaried,0
APP1161,52,81203,1,0.11,10906,1,,salaried,0
APP1162,44,134156,3,0.57,38914,1,780.0,salaried,0
APP1163,32,24337,1,0.36,112350,2,651.0,self_employed,0
APP1164,59,61427,4,0.61,47379,4,859.0,salaried,1
APP1165,22,76529,0,0.09,80612,1,625.0,salaried,0
APP1166,23,117023,0,0.83,116828,2,742.0,salaried,0
APP1167,57,99665,3,0.93,39650,1,,salaried,1
APP1168,37,120787,0,0.92,48881,1,,salaried,0
APP1169,22,48307,0,0.72,48413,2,807.0,self_employed,1
APP1170,22,142016,3,0.17,8012,0,557.0,gig,0
APP1171,48,19835,3,0.73,52115,0,712.0,self_employed,0
APP1172,43,35159,4,0.07,9151,0,751.0,salaried,0
APP1173,57,136790,0,0.07,59716,0,364.0,gig,0
APP1174,52,120616,0,0.34,95747,2,894.0,self_employed,0
APP1175,53,93752,4,0.49,94653,0,453.0,self_employed,0
APP1176,21,70284,2,0.74,38378,2,565.0,salaried,1
APP1177,39,72043,2,0.66,44652,2,378.0,salaried,0
APP1178,22,112007,2,0.45,74430,1,614.0,salaried,0
APP1179,46,97844,4,0.3,15467,0,,salaried,0
APP1180,52,42532,0,0.95,33010,3,547.0,salaried,1
APP1181,26,137402,4,0.43,116793,1,713.0,salaried,0
APP1182,52,133012,4,0.46,56691,1,324.0,salaried,0
APP1183,24,71178,2,0.2,66157,2,,self_employed,0
APP1184,31,64407,1,0.77,110177,0,748.0,salaried,0
APP1185,37,65990,0,0.67,14289,1,600.0,salaried,0
APP1186,58,144473,2,0.25,46976,0,367.0,gig,0
APP1187,44,73141,1,0.12,45596,0,306.0,gig,0
APP1188,25,71570,1,0.66,25171,1,436.0,self_employed,0
APP1189,54,16015,3,0.64,102441,1,,gig,0
APP1190,26,76813,0,0.3,88365,3,,salaried,0
APP1191,42,42712,1,0.91,101590,3,719.0,gig,1
APP1192,31,115497,2,0.19,116014,0,372.0,salaried,0
APP1193,36,127816,3,0.44,46139,2,536.0,salaried,0
APP1194,53,143778,0,0.9,50713,1,345.0,salaried,0
APP1195,29,77292,4,0.43,31734,2,,salaried,1
APP1196,26,38833,2,0.62,74588,2,,salaried,1
APP1197,36,35309,1,0.41,65646,1,465.0,self_employed,1
APP1198,49,21970,1,0.3,5654,2,669.0,self_employed,0
APP1199,23,87474,2,0.94,91022,2,353.0,self_employed,1
APP1200,40,61540,1,0.42,20743,1,718.0,salaried,1
APP1201,56,33017,3,0.85,50368,2,806.0,self_employed,0
APP1202,39,90880,0,0.26,92025,2,640.0,self_employed,0
APP1203,46,120570,3,0.24,76172,1,426.0,salaried,0
APP1204,23,23702,1,0.08,8441,0,708.0,self_employed,0
APP1205,39,146456,4,0.64,26611,0,666.0,salaried,1
APP1206,40,15404,0,0.38,109971,2,570.0,salaried,0
APP1207,52,27763,0,0.83,14149,1,,gig,0
APP1208,27,113142,2,0.48,102102,0,372.0,salaried,0
APP1209,53,95642,2,0.92,61189,4,547.0,salaried,1
APP1210,59,65612,4,0.22,109904,3,342.0,gig,0
APP1211,38,38574,0,0.83,23675,2,676.0,self_employed,1
APP1212,21,38524,4,0.75,73031,0,,salaried,0
APP1213,31,25916,2,0.74,44668,1,,salaried,1
APP1214,48,19809,2,0.81,15673,2,511.0,salaried,1
APP1215,45,136288,0,0.73,78666,1,792.0,self_employed,0
APP1216,43,53765,3,0.61,90204,3,338.0,salaried,1
APP1217,51,60106,1,0.17,82758,1,668.0,salaried,0
APP1218,50,68932,2,0.08,67429,2,,gig,1
APP1219,55,72091,2,0.88,25669,2,410.0,salaried,0
APP1220,27,36949,3,0.6,36068,0,779.0,salaried,0
APP1221,36,52744,3,0.77,90789,2,735.0,salaried,1
APP1222,46,123319,4,0.48,11435,0,,self_employed,0
APP1223,22,107193,4,0.16,96088,0,874.0,salaried,0
APP1224,21,51187,1,0.16,54249,1,665.0,salaried,0
APP1225,32,139454,1,0.67,39384,3,,self_employed,0
APP1226,25,29489,0,0.44,83929,3,598.0,salaried,1
APP1227,57,76877,4,0.23,78153,0,595.0,salaried,0
APP1228,52,64922,2,0.49,106056,1,502.0,salaried,0
APP1229,29,109074,4,0.11,77388,1,360.0,salaried,0
APP1230,55,52131,2,0.57,33401,0,613.0,salaried,0
APP1231,39,130765,3,0.29,73831,1,460.0,salaried,0
APP1232,36,88963,4,0.77,117760,1,630.0,salaried,0
APP1233,23,121884,3,0.33,103529,2,827.0,salaried,0
APP1234,40,140917,1,0.46,36084,1,637.0,self_employed,0
APP1235,44,39285,1,0.06,112641,0,,gig,0
APP1236,53,52626,0,0.12,107111,1,802.0,self_employed,0
APP1237,44,34198,4,0.4,57826,5,,gig,1
APP1238,31,30254,3,0.48,38451,3,849.0,salaried,0
APP1239,28,59238,2,0.59,9227,1,574.0,gig,0
APP1240,56,16252,1,0.31,33910,2,,salaried,0
APP1241,58,54764,1,0.68,38041,1,,gig,0
APP1242,40,92709,2,0.82,90920,1,618.0,gig,0
APP1243,55,68682,3,0.75,67681,2,888.0,self_employed,0
APP1244,45,74494,3,0.09,105314,1,803.0,gig,0
APP1245,55,96317,4,0.48,83571,3,686.0,self_employed,0
APP1246,45,80215,4,0.14,67481,2,,salaried,0
APP1247,49,93587,0,0.27,70576,1,789.0,salaried,0
APP1248,38,21949,1,0.94,109958,1,372.0,self_employed,1
APP1249,38,70393,4,0.18,66174,2,808.0,salaried,0
APP1250,22,40934,3,0.5,28160,0,689.0,self_employed,0
APP1251,55,90745,2,0.61,117170,0,594.0,gig,0
APP1252,36,109456,3,0.68,119867,1,,salaried,0
APP1253,56,68413,1,0.55,19633,1,,self_employed,0
APP1254,53,112239,3,0.06,96880,0,867.0,gig,0
APP1255,24,57318,0,0.34,19014,1,486.0,gig,0
APP1256,53,85390,1,0.52,82532,4,744.0,gig,0
APP1257,34,58088,2,0.13,51104,0,,salaried,0
APP1258,41,118196,0,0.37,43621,0,662.0,gig,0
APP1259,40,70479,1,0.08,79231,0,,self_employed,0
APP1260,28,34963,2,0.12,70388,1,487.0,salaried,0
APP1261,27,70123,0,0.41,18014,3,,salaried,0
APP1262,23,140911,0,0.17,94578,0,551.0,self_employed,0
APP1263,37,117468,1,0.56,35755,2,848.0,salaried,0
APP1264,53,88477,4,0.67,42390,0,634.0,self_employed,1
APP1265,32,29388,0,0.77,25711,4,391.0,self_employed,0
APP1266,42,20569,0,0.23,93658,1,829.0,salaried,0
APP1267,42,84836,2,0.2,59993,1,362.0,self_employed,0
APP1268,50,119573,3,0.14,76696,3,811.0,self_employed,0
APP1269,58,60002,1,0.62,29213,2,438.0,salaried,0
APP1270,58,39071,1,0.69,117788,1,484.0,salaried,0
APP1271,28,73243,4,0.08,106956,1,504.0,salaried,1
APP1272,47,140827,4,0.89,59784,1,513.0,salaried,0
APP1273,47,123215,1,0.1,9421,3,555.0,gig,0
APP1274,54,116570,4,0.54,88936,2,434.0,salaried,0
APP1275,41,84724,2,0.69,101073,0,872.0,self_employed,0
APP1276,50,130359,1,0.83,19727,1,387.0,salaried,1
APP1277,53,90697,4,0.69,114418,0,,salaried,0
APP1278,48,43732,1,0.77,6358,0,428.0,self_employed,1
APP1279,53,136465,3,0.36,67108,0,302.0,self_employed,0
APP1280,25,72108,0,0.78,96018,2,420.0,salaried,0
APP1281,39,126195,1,0.12,34117,0,684.0,salaried,0
APP1282,24,118081,0,0.86,90700,1,,salaried,0
APP1283,55,51668,4,0.54,33910,0,640.0,salaried,0
APP1284,37,38061,0,0.79,100032,1,320.0,self_employed,1
APP1285,48,94252,1,0.46,57754,0,541.0,salaried,0
APP1286,50,54749,3,0.63,64438,0,754.0,salaried,0
APP1287,49,145560,4,0.52,111847,0,602.0,salaried,0
APP1288,26,119680,1,0.71,31371,0,895.0,gig,0
APP1289,55,66745,4,0.12,53501,1,894.0,gig,0
APP1290,57,123464,2,0.1,62946,1,368.0,salaried,0
APP1291,44,106865,0,0.27,40467,0,428.0,self_employed,0
APP1292,49,127428,2,0.19,19625,2,495.0,salaried,0
APP1293,51,38624,1,0.83,35893,1,439.0,salaried,0
APP1294,55,38321,3,0.25,78329,1,743.0,self_employed,1
APP1295,53,37574,4,0.93,33007,3,582.0,gig,1
APP1296,41,133831,0,0.35,93302,0,611.0,gig,0
APP1297,52,110257,4,0.21,41532,0,834.0,self_employed,0
APP1298,43,79291,1,0.76,56253,1,576.0,salaried,0
APP1299,53,142600,4,0.64,14323,2,360.0,self_employed,1
APP1300,23,65428,0,0.5,113335,1,618.0,salaried,0
APP1301,38,146374,1,0.55,114356,3,351.0,self_employed,1
APP1302,45,146127,4,0.7,112944,1,452.0,salaried,0
APP1303,51,126317,3,0.26,75379,0,610.0,self_employed,0
APP1304,23,142449,1,0.95,16210,0,,salaried,0
APP1305,44,43699,1,0.93,18456,2,866.0,salaried,1
APP1306,52,88686,3,0.64,33367,1,,gig,0
APP1307,42,82661,2,0.23,56624,1,,salaried,0
APP1308,43,59247,0,0.66,12106,2,476.0,salaried,1
APP1309,22,120113,2,0.11,105493,0,661.0,salaried,0
APP1310,47,19621,4,0.08,70008,2,613.0,salaried,1
APP1311,22,33030,3,0.28,117395,1,396.0,salaried,0
APP1312,46,97838,2,0.47,118492,1,512.0,salaried,0
APP1313,37,99717,1,0.83,74240,4,436.0,gig,1
APP1314,53,53638,4,0.7,66315,0,305.0,salaried,0
APP1315,29,82067,4,0.72,71249,1,408.0,gig,0
APP1316,59,133033,2,0.43,72587,1,846.0,self_employed,0
APP1317,49,120977,2,0.36,12756,0,338.0,salaried,0
APP1318,46,103869,3,0.38,70011,1,724.0,self_employed,0
APP1319,55,120186,0,0.94,38378,1,560.0,salaried,0
APP1320,45,49674,2,0.09,6255,0,725.0,self_employed,0
APP1321,44,61271,2,0.83,16484,0,386.0,salaried,0
APP1322,33,88688,1,0.57,58549,1,764.0,salaried,1
APP1323,27,126076,4,0.44,36503,3,375.0,gig,1
APP1324,56,16062,0,0.7,75794,1,770.0,gig,0
APP1325,40,65448,1,0.49,108283,0,,gig,0
APP1326,21,110462,3,0.84,102732,1,756.0,salaried,0
APP1327,28,62915,3,0.86,47113,2,584.0,self_employed,1
APP1328,36,19632,2,0.43,107730,3,538.0,salaried,1
APP1329,34,119592,2,0.3,76069,1,898.0,salaried,0
APP1330,32,149668,3,0.58,100117,2,857.0,salaried,0
APP1331,43,124779,2,0.87,7249,1,671.0,self_employed,0
APP1332,35,123099,0,0.24,21201,1,794.0,salaried,0
APP1333,48,22561,2,0.61,60576,2,,salaried,0
APP1334,54,97152,4,0.62,11686,0,700.0,gig,0
APP1335,22,140036,2,0.71,114413,2,546.0,salaried,0
APP1336,52,139049,1,0.17,55363,0,896.0,salaried,0
APP1337,43,41734,0,0.69,99543,1,749.0,salaried,0
APP1338,42,41069,1,0.87,2661,2,784.0,gig,1
APP1339,45,27910,1,0.21,46843,0,317.0,salaried,0
APP1340,42,88479,4,0.26,97673,3,,salaried,0
APP1341,42,96264,0,0.92,62963,1,713.0,self_employed,0
APP1342,26,38275,0,0.21,115092,2,534.0,self_employed,0
APP1343,35,87274,0,0.82,44828,0,715.0,salaried,0
APP1344,57,115776,0,0.49,50604,0,798.0,self_employed,0
APP1345,53,63447,0,0.27,12526,1,414.0,self_employed,0
APP1346,28,141394,4,0.83,70910,0,533.0,self_employed,0
APP1347,25,90703,2,0.45,27592,2,839.0,salaried,0
APP1348,59,91090,1,0.51,30982,1,,gig,0
APP1349,24,32260,0,0.37,2207,1,505.0,salaried,1
APP1350,26,127581,2,0.58,102969,4,546.0,salaried,0
APP1351,52,18812,2,0.2,119181,2,858.0,salaried,1
APP1352,50,131148,1,0.4,90733,1,426.0,salaried,0
APP1353,55,131421,4,0.92,100936,0,,salaried,0
APP1354,36,16605,3,0.28,70619,1,417.0,self_employed,0
APP1355,33,87303,3,0.64,31328,2,,salaried,1
APP1356,50,91125,2,0.34,48479,1,711.0,salaried,0
APP1357,39,139040,1,0.75,110427,0,883.0,salaried,0
APP1358,37,19324,3,0.17,22103,0,662.0,salaried,0
APP1359,39,91323,2,0.92,41891,1,808.0,gig,0
APP1360,48,24111,4,0.46,12754,2,436.0,salaried,0
APP1361,46,31389,3,0.26,101983,1,474.0,salaried,1
APP1362,57,137177,2,0.12,83437,1,588.0,salaried,0
APP1363,46,56427,2,0.2,100540,1,780.0,salaried,0
APP1364,43,137883,0,0.52,74982,4,,salaried,0
APP1365,29,146189,4,0.35,104747,0,494.0,self_employed,0
APP1366,32,140808,0,0.8,57922,1,629.0,gig,0
APP1367,21,127221,1,0.44,50231,1,,salaried,0
APP1368,21,28234,0,0.27,31301,0,748.0,self_employed,0
APP1369,54,68441,0,0.61,93652,4,653.0,self_employed,1
APP1370,52,15846,3,0.69,64711,0,798.0,self_employed,1
APP1371,45,25954,2,0.2,43323,1,,salaried,0
APP1372,21,94239,4,0.2,20752,1,392.0,salaried,0
APP1373,36,61514,0,0.08,99912,2,538.0,salaried,0
APP1374,59,103236,4,0.71,84205,2,504.0,self_employed,1
APP1375,25,112579,0,0.65,100452,2,859.0,self_employed,0
APP1376,42,57101,1,0.48,15395,0,732.0,salaried,0
APP1377,49,79323,0,0.81,87957,0,,salaried,0
APP1378,23,106922,3,0.78,58273,1,616.0,gig,0
APP1379,32,142534,2,0.58,93878,1,594.0,self_employed,0
APP1380,46,82584,1,0.83,6895,3,,gig,0
APP1381,36,119537,0,0.24,117700,4,316.0,self_employed,0
APP1382,57,93477,4,0.15,78559,0,370.0,salaried,0
APP1383,42,57533,1,0.29,12699,3,568.0,self_employed,0
APP1384,49,16828,1,0.1,67061,0,624.0,self_employed,0
APP1385,34,16917,0,0.53,11715,2,604.0,salaried,1
APP1386,48,35618,1,0.89,21169,2,,salaried,0
APP1387,25,47254,4,0.09,18163,2,306.0,self_employed,0
APP1388,50,120292,1,0.16,7782,1,613.0,salaried,0
APP1389,25,62362,4,0.46,90177,0,402.0,self_employed,1
APP1390,32,35128,0,0.89,86328,1,,self_employed,1
APP1391,36,138781,2,0.33,117028,0,,gig,0
APP1392,46,80545,1,0.51,37585,0,828.0,salaried,0
APP1393,46,97180,2,0.09,32682,1,470.0,salaried,0
APP1394,41,102958,4,0.18,49864,3,836.0,self_employed,0
APP1395,59,148291,1,0.94,86416,0,550.0,salaried,0
APP1396,56,54809,3,0.92,57114,3,686.0,self_employed,1
APP1397,53,131748,2,0.05,40067,3,506.0,self_employed,0
APP1398,50,20287,1,0.91,44685,2,,salaried,0
APP1399,57,23512,2,0.63,20073,1,715.0,salaried,0
