transaction_id,user_id,merchant_id,transaction_time,amount_inr,payment_method,status,risk_score
TXN100157,187,9,2026-01-15 01:37:00,49,Card,failed,11
TXN100158,213,12,2026-01-30 09:20:00,4999,UPI,captured,25
TXN100159,188,34,2026-01-05 17:56:00,2999,UPI,captured,64
TXN100160,85,17,2026-01-30 08:53:00,499,UPI,captured,61
TXN100161,174,8,2026-01-26 09:47:00,299,Netbanking,captured,59
TXN100162,116,26,2026-01-03 04:48:00,99,Netbanking,captured,71
TXN100163,203,1,2026-01-12 02:50:00,149,Wallet,captured,33
TXN100164,189,17,2026-01-18 03:29:00,99,UPI,captured,74
TXN100165,56,15,2026-01-13 20:23:00,299,UPI,captured,60
TXN100166,288,21,2026-01-01 19:56:00,4999,Wallet,failed,78
TXN100167,326,30,2026-01-08 20:04:00,99,Card,captured,89
TXN100168,60,9,2026-01-10 20:26:00,49,Netbanking,captured,5
TXN100169,60,7,2026-01-02 09:31:00,2999,Wallet,captured,30
TXN100170,199,30,2026-01-29 17:08:00,149,Netbanking,captured,47
TXN100171,277,27,2026-01-22 23:44:00,49,UPI,captured,75
TXN100172,213,7,2026-01-24 23:09:00,799,Netbanking,captured,62
TXN100173,17,24,2026-01-20 13:17:00,299,UPI,captured,27
TXN100174,186,7,2026-01-15 14:15:00,1499,Card,failed,87
TXN100175,331,23,2026-01-12 17:57:00,149,UPI,captured,7
TXN100176,63,30,2026-01-13 08:12:00,1499,Card,captured,11
TXN100177,328,39,2026-01-22 06:41:00,4999,Wallet,chargeback,2
TXN100178,65,37,2026-01-02 10:15:00,2999,Card,captured,26
TXN100179,301,14,2026-01-03 17:13:00,149,UPI,captured,29
TXN100180,306,1,2026-01-11 04:50:00,299,UPI,failed,35
TXN100181,277,17,2026-01-28 04:08:00,299,UPI,captured,22
TXN100182,14,9,2026-01-04 21:55:00,499,UPI,captured,1
TXN100183,166,2,2026-01-12 07:37:00,299,Card,captured,22
TXN100184,216,34,2026-01-09 01:08:00,299,Card,captured,14
TXN100185,230,24,2026-01-24 02:30:00,49,UPI,captured,65
TXN100186,258,15,2026-01-19 03:28:00,499,Wallet,captured,78
TXN100187,338,34,2026-01-02 23:50:00,49,UPI,captured,38
TXN100188,32,31,2026-01-15 20:01:00,299,UPI,captured,51
TXN100189,252,29,2026-01-14 21:06:00,1499,UPI,captured,9
TXN100190,312,10,2026-01-29 02:20:00,799,UPI,captured,8
TXN100191,325,38,2026-01-05 08:39:00,1499,Netbanking,captured,70
TXN100192,306,34,2026-01-23 10:24:00,2999,UPI,captured,37
TXN100193,221,7,2026-01-15 16:38:00,149,Netbanking,captured,89
TXN100194,283,14,2026-01-04 20:41:00,99,Wallet,captured,55
TXN100195,174,30,2026-01-15 07:26:00,49,UPI,captured,51
TXN100196,161,28,2026-01-14 23:06:00,49,UPI,captured,40
TXN100197,79,31,2026-01-22 08:23:00,99,UPI,captured,8
TXN100198,222,7,2026-01-03 02:05:00,149,Wallet,captured,95
TXN100199,67,36,2026-01-24 11:51:00,99,UPI,captured,7
TXN100200,169,8,2026-01-19 17:35:00,99,UPI,captured,52
TXN100201,217,4,2026-01-12 21:48:00,49,UPI,captured,36
TXN100202,54,37,2026-01-20 09:22:00,149,UPI,captured,64
TXN100203,247,15,2026-01-07 04:42:00,49,Card,captured,13
TXN100204,59,18,2026-01-12 17:23:00,49,Card,captured,73
TXN100205,288,40,2026-01-08 13:54:00,49,UPI,failed,78
TXN100206,14,39,2026-01-22 20:35:00,799,UPI,captured,84
TXN100207,15,12,2026-01-27 22:17:00,149,UPI,captured,34
TXN100208,174,23,2026-01-23 09:58:00,149,UPI,captured,0
TXN100209,337,26,2026-01-06 04:36:00,49,UPI,captured,8
TXN100210,16,6,2026-01-05 23:40:00,1499,UPI,captured,95
TXN100211,215,30,2026-01-17 06:24:00,49,UPI,captured,43
TXN100212,167,37,2026-01-06 11:19:00,99,UPI,captured,76
TXN100213,81,40,2026-01-03 01:09:00,49,UPI,captured,6
TXN100214,227,28,2026-01-22 02:17:00,99,UPI,captured,62
TXN100215,140,14,2026-01-20 14:26:00,299,Wallet,captured,96
TXN100216,221,8,2026-01-17 03:22:00,299,UPI,captured,36
TXN100217,250,34,2026-01-22 21:37:00,299,Wallet,captured,85
TXN100218,203,39,2026-01-10 01:14:00,49,UPI,captured,7
TXN100219,109,9,2026-01-01 06:19:00,499,Wallet,captured,97
TXN100220,62,1,2026-01-09 09:20:00,4999,Wallet,captured,63
TXN100221,67,25,2026-01-24 13:11:00,49,UPI,captured,68
TXN100222,287,23,2026-01-23 07:32:00,49,UPI,captured,9
TXN100223,224,2,2026-01-13 23:02:00,49,Card,captured,58
TXN100224,161,37,2026-01-30 02:55:00,299,UPI,captured,54
TXN100225,328,27,2026-01-19 12:45:00,49,UPI,chargeback,37
TXN100226,167,11,2026-01-04 12:01:00,1499,Card,failed,79
TXN100227,186,6,2026-01-15 22:58:00,49,Wallet,captured,55
TXN100228,224,38,2026-01-28 03:15:00,299,Wallet,failed,51
TXN100229,159,22,2026-01-17 02:25:00,799,UPI,captured,28
TXN100230,262,8,2026-01-11 05:04:00,149,UPI,captured,67
TXN100231,179,23,2026-01-17 06:57:00,49,Wallet,captured,93
TXN100232,76,16,2026-01-27 20:52:00,299,UPI,captured,13
TXN100233,89,39,2026-01-05 08:12:00,299,UPI,captured,19
TXN100234,91,32,2026-01-25 20:04:00,49,UPI,captured,59
TXN100235,297,29,2026-01-25 18:48:00,99,Card,chargeback,87
TXN100236,326,40,2026-01-30 18:41:00,499,Card,captured,41
TXN100237,78,29,2026-01-28 20:20:00,149,UPI,captured,8
TXN100238,156,18,2026-01-16 14:40:00,2999,Card,captured,75
TXN100239,38,20,2026-01-02 11:32:00,49,Wallet,failed,59
TXN100240,189,19,2026-01-15 01:03:00,99,UPI,failed,9
TXN100241,305,33,2026-01-21 02:39:00,299,Card,captured,49
TXN100242,22,29,2026-01-15 18:35:00,799,UPI,captured,73
TXN100243,310,31,2026-01-21 06:20:00,49,Card,captured,64
TXN100244,53,22,2026-01-05 01:28:00,299,UPI,captured,91
TXN100245,89,3,2026-01-03 16:41:00,149,Card,captured,31
TXN100246,269,34,2026-01-23 14:28:00,149,UPI,captured,78
TXN100247,145,25,2026-01-06 11:23:00,799,UPI,captured,52
TXN100248,307,4,2026-01-25 10:43:00,1499,UPI,captured,80
TXN100249,169,7,2026-01-21 10:04:00,1499,Wallet,captured,71
TXN100250,130,39,2026-01-22 12:18:00,2999,Wallet,captured,19
TXN100251,340,10,2026-01-11 02:37:00,49,Card,captured,44
TXN100252,340,26,2026-01-10 20:44:00,299,Card,captured,16
TXN100253,159,36,2026-01-20 22:05:00,49,UPI,captured,48
TXN100254,66,34,2026-01-21 10:52:00,799,UPI,captured,11
TXN100255,261,24,2026-01-21 21:27:00,799,Card,captured,2
TXN100256,110,22,2026-01-12 09:11:00,799,UPI,captured,98
TXN100257,71,10,2026-01-16 06:14:00,49,UPI,captured,9
TXN100258,277,34,2026-01-10 03:32:00,49,UPI,captured,4
TXN100259,317,9,2026-01-22 10:56:00,499,Wallet,captured,76
TXN100260,93,40,2026-01-13 04:10:00,299,UPI,captured,21
TXN100261,211,24,2026-01-24 14:02:00,99,Netbanking,captured,86
TXN100262,313,19,2026-01-24 07:28:00,149,UPI,captured,96
TXN100263,274,16,2026-01-24 14:14:00,49,Wallet,failed,39
TXN100264,100,24,2026-01-26 15:57:00,299,UPI,captured,86
TXN100265,145,25,2026-01-19 14:29:00,2999,Wallet,captured,64
TXN100266,103,39,2026-01-17 13:10:00,2999,Wallet,captured,17
TXN100267,329,31,2026-01-28 08:03:00,299,Wallet,captured,47
TXN100268,265,8,2026-01-18 03:45:00,499,Netbanking,captured,36
TXN100269,231,33,2026-01-03 05:17:00,149,UPI,failed,18
TXN100270,114,29,2026-01-27 13:05:00,799,UPI,chargeback,44
TXN100271,28,26,2026-01-30 00:26:00,1499,UPI,failed,64
TXN100272,42,24,2026-01-12 07:24:00,149,UPI,captured,28
TXN100273,51,22,2026-01-01 10:59:00,799,UPI,captured,18
TXN100274,242,9,2026-01-05 01:18:00,149,UPI,captured,97
TXN100275,316,1,2026-01-23 15:28:00,149,UPI,captured,10
TXN100276,77,36,2026-01-01 08:13:00,149,UPI,captured,93
TXN100277,57,19,2026-01-20 16:27:00,49,UPI,captured,30
TXN100278,123,27,2026-01-10 03:03:00,149,Netbanking,captured,81
TXN100279,33,8,2026-01-26 19:29:00,299,Wallet,captured,63
TXN100280,324,33,2026-01-20 17:01:00,499,UPI,captured,73
TXN100281,150,28,2026-01-08 22:09:00,49,UPI,failed,0
TXN100282,293,27,2026-01-20 11:15:00,4999,UPI,captured,23
TXN100283,269,24,2026-01-22 21:05:00,49,Wallet,captured,8
TXN100284,260,36,2026-01-17 17:32:00,1499,UPI,captured,2
TXN100285,326,25,2026-01-13 15:02:00,49,UPI,captured,47
TXN100286,183,5,2026-01-09 23:01:00,49,Card,captured,44
TXN100287,322,7,2026-01-08 23:42:00,299,UPI,captured,98
TXN100288,171,9,2026-01-19 23:48:00,299,UPI,captured,5
TXN100289,330,12,2026-01-12 17:21:00,1499,Netbanking,captured,99
TXN100290,246,12,2026-01-22 14:44:00,99,Wallet,captured,17
TXN100291,235,3,2026-01-03 22:49:00,49,UPI,captured,37
TXN100292,103,3,2026-01-07 01:50:00,499,UPI,captured,40
TXN100293,204,35,2026-01-30 09:32:00,99,Wallet,captured,60
TXN100294,332,13,2026-01-09 01:48:00,49,Card,captured,36
TXN100295,336,22,2026-01-12 01:55:00,499,UPI,captured,34
TXN100296,205,29,2026-01-04 11:27:00,99,Wallet,captured,49
TXN100297,255,24,2026-01-11 05:31:00,799,UPI,captured,66
TXN100298,218,6,2026-01-09 02:46:00,99,UPI,captured,55
TXN100299,151,21,2026-01-20 05:34:00,49,UPI,captured,13
TXN100300,152,20,2026-01-03 10:42:00,49,UPI,captured,57
TXN100301,86,29,2026-01-20 22:27:00,149,Card,captured,44
TXN100302,181,40,2026-01-15 01:46:00,149,UPI,captured,55
TXN100303,30,5,2026-01-09 20:50:00,299,UPI,captured,85
TXN100304,263,11,2026-01-21 12:23:00,149,Wallet,captured,3
TXN100305,225,3,2026-01-05 19:43:00,99,Netbanking,captured,16
TXN100306,331,24,2026-01-03 07:49:00,49,Card,captured,46
TXN100307,310,10,2026-01-13 18:02:00,1499,Card,captured,86
TXN100308,228,5,2026-01-15 11:23:00,49,UPI,captured,73
TXN100309,204,21,2026-01-05 16:23:00,499,UPI,captured,83
TXN100310,14,12,2026-01-09 07:07:00,799,Netbanking,captured,63
TXN100311,288,8,2026-01-17 12:58:00,49,UPI,captured,33
TXN100312,229,14,2026-01-25 08:45:00,1499,UPI,captured,78
TXN100313,252,13,2026-01-10 22:58:00,99,Wallet,captured,15
TXN100314,89,29,2026-01-05 02:28:00,799,UPI,captured,11
TXN100315,164,23,2026-01-26 21:54:00,49,Netbanking,captured,90
TXN100316,149,20,2026-01-03 17:34:00,299,Wallet,captured,20
TXN100317,327,12,2026-01-23 22:59:00,49,Netbanking,captured,46
TXN100318,103,9,2026-01-17 07:07:00,149,UPI,captured,30
TXN100319,185,36,2026-01-26 15:01:00,49,Wallet,captured,73
TXN100320,283,9,2026-01-12 14:51:00,299,UPI,captured,78
TXN100321,159,26,2026-01-29 02:04:00,99,UPI,captured,91
TXN100322,211,27,2026-01-24 15:33:00,99,Wallet,captured,73
TXN100323,329,5,2026-01-03 04:20:00,499,Netbanking,captured,57
TXN100324,177,9,2026-01-15 21:33:00,99,UPI,captured,99
TXN100325,94,9,2026-01-18 20:37:00,299,UPI,captured,55
TXN100326,64,34,2026-01-17 01:53:00,299,UPI,captured,19
TXN100327,166,15,2026-01-10 05:10:00,49,UPI,captured,44
TXN100328,41,17,2026-01-17 09:54:00,299,Wallet,captured,25
TXN100329,65,20,2026-01-21 17:17:00,99,Card,captured,78
TXN100330,329,11,2026-01-18 02:32:00,499,UPI,captured,75
TXN100331,338,40,2026-01-19 04:10:00,149,UPI,captured,92
TXN100332,289,3,2026-01-29 19:21:00,49,Netbanking,captured,3
TXN100333,296,17,2026-01-03 01:41:00,99,UPI,captured,83
TXN100334,317,2,2026-01-07 18:26:00,499,Card,captured,63
TXN100335,149,20,2026-01-29 20:34:00,499,Card,captured,61
TXN100336,153,30,2026-01-08 21:25:00,299,UPI,captured,9
TXN100337,226,27,2026-01-23 01:10:00,2999,UPI,chargeback,61
TXN100338,311,10,2026-01-15 06:21:00,2999,UPI,captured,40
TXN100339,177,26,2026-01-28 22:20:00,1499,UPI,captured,16
TXN100340,288,7,2026-01-25 11:32:00,99,Netbanking,captured,40
TXN100341,137,29,2026-01-08 14:07:00,2999,UPI,failed,31
TXN100342,149,25,2026-01-05 03:03:00,1499,UPI,captured,78
TXN100343,82,21,2026-01-14 07:55:00,49,Wallet,captured,73
TXN100344,82,32,2026-01-24 10:12:00,49,UPI,captured,65
TXN100345,158,32,2026-01-15 15:56:00,99,Wallet,captured,2
TXN100346,235,16,2026-01-03 12:32:00,99,UPI,captured,27
TXN100347,26,19,2026-01-19 11:03:00,99,Wallet,captured,63
TXN100348,241,19,2026-01-20 20:43:00,299,UPI,captured,68
TXN100349,69,17,2026-01-01 03:27:00,1499,UPI,captured,93
TXN100350,24,26,2026-01-12 12:23:00,299,Netbanking,captured,6
TXN100351,186,36,2026-01-19 17:12:00,4999,UPI,captured,36
TXN100352,231,36,2026-01-03 12:32:00,149,UPI,captured,35
TXN100353,313,8,2026-01-27 19:43:00,1499,Netbanking,captured,16
TXN100354,174,36,2026-01-04 12:23:00,149,UPI,captured,46
TXN100355,309,33,2026-01-25 04:12:00,99,UPI,captured,51
TXN100356,20,9,2026-01-17 01:02:00,99,UPI,captured,91
TXN100357,234,10,2026-01-11 15:33:00,49,UPI,captured,77
TXN100358,168,40,2026-01-29 16:08:00,149,UPI,chargeback,40
TXN100359,154,38,2026-01-06 12:39:00,99,Netbanking,captured,43
TXN100360,251,37,2026-01-17 16:34:00,49,UPI,captured,38
TXN100361,170,8,2026-01-16 00:23:00,2999,UPI,captured,53
TXN100362,323,2,2026-01-19 09:50:00,49,Netbanking,captured,76
TXN100363,297,37,2026-01-16 08:41:00,2999,Wallet,captured,29
TXN100364,246,11,2026-01-24 01:37:00,299,UPI,captured,67
TXN100365,195,10,2026-01-21 23:39:00,99,UPI,captured,87
TXN100366,57,13,2026-01-08 01:36:00,149,UPI,captured,2
TXN100367,78,27,2026-01-15 10:26:00,1499,Netbanking,failed,88
TXN100368,314,31,2026-01-07 13:32:00,49,UPI,chargeback,94
TXN100369,71,34,2026-01-24 01:45:00,499,UPI,captured,26
TXN100370,245,34,2026-01-18 10:42:00,99,UPI,captured,48
TXN100371,273,22,2026-01-11 05:29:00,299,Wallet,captured,69
TXN100372,349,17,2026-01-12 21:49:00,1499,UPI,captured,78
TXN100373,143,36,2026-01-16 06:15:00,1499,Netbanking,captured,38
TXN100374,148,14,2026-01-08 09:49:00,799,Wallet,captured,88
TXN100375,246,23,2026-01-23 15:20:00,49,UPI,captured,71
TXN100376,148,8,2026-01-30 23:17:00,99,Wallet,captured,73
TXN100377,203,23,2026-01-22 17:24:00,49,UPI,captured,98
TXN100378,22,19,2026-01-26 04:18:00,49,Card,captured,91
TXN100379,227,17,2026-01-03 11:59:00,299,Wallet,captured,95
TXN100380,276,18,2026-01-16 06:12:00,149,Wallet,captured,71
TXN100381,56,40,2026-01-23 08:08:00,99,Card,captured,94
TXN100382,26,34,2026-01-19 07:15:00,499,Card,captured,28
TXN100383,52,27,2026-01-21 07:03:00,499,Card,captured,42
TXN100384,349,9,2026-01-23 15:06:00,499,Wallet,captured,0
TXN100385,335,31,2026-01-18 05:26:00,49,Card,captured,61
TXN100386,148,21,2026-01-21 06:48:00,49,Card,captured,36
TXN100387,46,37,2026-01-21 01:58:00,99,Wallet,captured,29
TXN100388,20,12,2026-01-18 23:46:00,799,Card,captured,53
TXN100389,19,26,2026-01-29 05:59:00,49,UPI,captured,100
TXN100390,149,3,2026-01-16 05:59:00,4999,Wallet,captured,1
TXN100391,55,22,2026-01-10 18:38:00,499,UPI,captured,36
TXN100392,269,32,2026-01-15 20:34:00,49,Card,captured,17
TXN100393,140,13,2026-01-28 16:29:00,2999,UPI,captured,14
TXN100394,235,17,2026-01-11 05:46:00,2999,UPI,captured,91
TXN100395,173,19,2026-01-06 00:47:00,499,UPI,failed,72
TXN100396,313,26,2026-01-22 06:11:00,499,UPI,captured,54
TXN100397,206,7,2026-01-17 10:05:00,149,Wallet,captured,23
TXN100398,128,1,2026-01-05 15:20:00,1499,Netbanking,captured,33
TXN100399,137,22,2026-01-13 07:28:00,799,UPI,failed,38
TXN100400,6,17,2026-01-19 23:36:00,49,UPI,captured,83
TXN100401,32,8,2026-01-12 22:15:00,299,Card,captured,59
TXN100402,258,20,2026-01-10 05:25:00,149,UPI,captured,88
